Text,ASR Text,Matched Text,VAC_WER,ASR_WER,Duration,Path
"Սպիտակ դրոշը նաև կապիտուլյացիայի նշանն է, այսինքն հակառակ կողմի ողորմածությանը հանձնվելը։","Սպիտակ դրոշը նաև կապիտուլացիայի նշանն է, այսինքն՝ հակառակ կողմի ողորմածությանը հանձնվելը։","Սպիտակ դրոշը նաև կապիտուլյացիայի նշանն է, այսինքն հակառակ կողմի ողորմածությանը հանձնվելը։",0.0,0.273,6.912,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39995028.wav
Կանխարգելումն ընդգրկում է պաշտպանիչ գլխարկների օգտագործում հեծանիվ կամ մոտոցիկլետ վարելիս։,Կանխարգելումն ընգրկում է պաշտպանիչ գլխարկների օգտագործում հեծանիվ կամ մոտոցիկ տետ վարելիս։,Կանխարգելումն ընդգրկում է պաշտպանիչ գլխարկների օգտագործում հեծանիվ կամ մոտոցիկլետ վարելիս։,0.0,0.3,7.092,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39995033.wav
"Եվ սա այն դեպքում, երբ նա հաճախ էր բացակայում։","Եվ սահ այն դեպքում, երբ նա հաճախ էր բացակայում։","Եվ սա այն դեպքում, երբ նա հաճախ էր բացակայում։",0.0,0.111,4.86,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39995038.wav
Ունեցել է բազմաթիվ աշակերտներ և հետևորդներ։,Ունեցել է բազմաթիվ աշակերտներ և հետևորդներ։,Ունեցել է բազմաթիվ աշակերտներ և հետևորդներ։,0.0,0.333,4.752,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39998008.wav
"- Մայր էլ չունիմ,- ասաց պատանին այնպես, որ կարծես խաբում լիներ։","այր էլ չունիմ,- ասաց պատանին այնպես, որ կարծես, խաբում լիներ։","- Մայր էլ չունիմ,- ասաց պատանին այնպես, որ կարծես խաբում լիներ։",0.0,0.273,6.624,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39998013.wav
Շատից սկսվող երկու աստղային շղթաները առջևի վերջույթներն են։,Շատից սկսվող երկու աստղային շղթաները առջևի վերջույթներն են։,Շատից սկսվող երկու աստղային շղթաները առջևի վերջույթներն են։,0.0,0.125,5.94,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_40013621.wav
Այդ դասակարգումներում նախագազանները համարվում են գազանների ենթադաս։,Այդ դասակարգումներում նախագազանները համարվում են գազանների ենթադաս։,Այդ դասակարգումներում նախագազանները համարվում են գազանների ենթադաս։,0.0,0.0,6.192,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_40013645.wav
Համարվում է խոստումնալից ֆուտբոլիստ։,Համարվում է խոսումնալից ֆուտբոլիստ։,Համարվում է խոստումնալից ֆուտբոլիստ։,0.0,0.25,3.672,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_40040166.wav
"Ռիդը, իր հերթին, փրպկում է հրշեջ մեքենայից ընկնող հրշեջին։","Ռիդը իր հերթին, փրպկում է հրշեջ մեքենայից ընկնող հրշեջին։","Ռիդը, իր հերթին, փրպկում է հրշեջ մեքենայից ընկնող հրշեջին։",0.0,0.111,5.472,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_40040186.wav
Օկուպացիայի առաջին օրերին գնդակահարվել են հրեաներ՝ որպես խորհրդային ակտիվիստներ։,"Օկոպացիայի առաջին օրերին գնդակահարվել են հրեաներ, որպես խորհրդային ակտիվիստներ։",Օկուպացիայի առաջին օրերին գնդակահարվել են հրեաներ՝ որպես խորհրդային ակտիվիստներ։,0.0,0.222,6.696,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39985986.wav
Տարեկան ընձյուղները ծիրանագույն են կամ մուգ կարմիր։,Տարեկան ընձյուղները ծիրանագույն են կամ մուգ կարմիր։,Տարեկան ընձյուղները ծիրանագույն են կամ մուգ կարմիր։,0.0,0.0,4.752,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39985988.wav
Մարտական զսպանակները գլանաձև պարույրներ են։,Մարտական զսպանակները գլանաձև պարույրներ են։,Մարտական զսպանակները գլանաձև պարույրներ են։,0.0,0.2,4.428,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39985989.wav
Կոմունայի արևմտյան մասը ծածկված է անտառով։,Կոմունայի արևմտյան մասը ծածկված է անտառով։,Կոմունայի արևմտյան մասը ծածկված է անտառով։,0.0,0.167,4.644,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39985990.wav
Աւելի քան երեսուն ուսանողներու նպաստ տրամադրած է համալսարանական ուսման համար։,Աւելի քան երեսուն ուսանողներու նպաստ տրամադրած է համալսարանական ուսման համար։,Աւելի քան երեսուն ուսանողներու նպաստ տրամադրած է համալսարանական ուսման համար։,0.0,0.0,5.976,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986016.wav
"Էնիսթոնը նկարահանվել է մի շարք գովազդային հոլովակներում, ինչպես նաև երաժշտական տեսահոլովակներում։","Էնիստոնը նկարահանվել է մի շարք գովազդային հոլովակներում, ինչպես նաև երաժշտական տեսահոլովակներում։","Էնիսթոնը նկարահանվել է մի շարք գովազդային հոլովակներում, ինչպես նաև երաժշտական տեսահոլովակներում։",0.0,0.182,6.804,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986020.wav
Արգելոցը նաև էպուլոյի պահպանման և հետազոտությունների կենտրոնն է էպուլո գետի վրա։,Արգելոցը նաև էպուլոյի պահպանման և հետազոտությունների կենտրոնն է էպուլո գետի վրա։,Արգելոցը նաև էպուլոյի պահպանման և հետազոտությունների կենտրոնն է էպուլո գետի վրա։,0.0,0.182,6.3,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986041.wav
Ցուցասրահում ցուցադրվելու տարիներին այն ճանաչվել է որպես նկարչի վավերական աշխատանք։,Ցուցասրահում ցուցադրվելու տարիներին այն ճանաչվել է որպես նկարչի վավերական աշխատանք։,Ցուցասրահում ցուցադրվելու տարիներին այն ճանաչվել է որպես նկարչի վավերական աշխատանք։,0.0,0.0,5.832,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986044.wav
Այս հետազոտությունների շնորհիվ հետագայում հայտնաբերվեց վերին քարանձավները։,Այս հետազոտությունների շնորհիվ հետագայում հայտնաբերվեց վերին քարանձավները։,Այս հետազոտությունների շնորհիվ հետագայում հայտնաբերվեց վերին քարանձավները։,0.0,0.0,5.004,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986071.wav
"Պադիլյան, անխոնջ ակտիվիստը, իր մասնակցությունն է ունեցել դրանում։",Բադիլյան անխոջ ակտիվիստը իր մասնակցությունն է ունեցել դրանում։,"Պադիլյան, անխոնջ ակտիվիստը, իր մասնակցությունն է ունեցել դրանում։",0.0,0.375,4.86,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986075.wav
Գրքերի ճամփորդությանը հետևելը իրականանում է ինտերնետում հատուկ կայքերի օգնությամբ։,Գրքերի ճամփորդությանը հետևել է իրականանում այն տառնանտում հատուկ կայքերի օգնությամբ։,Գրքերի ճամփորդությանը հետևելը իրականանում է ինտերնետում հատուկ կայքերի օգնությամբ։,0.0,0.444,5.94,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986087.wav
Երգում է սրնգային ձայնով՝ թռիչքի պահին կամ թփուտների ծայրերին նստած։,"Երգում է սրնգային ձայնով, թռիչքի պահին կամ թփուտների ծայրերին նստած։",Երգում է սրնգային ձայնով՝ թռիչքի պահին կամ թփուտների ծայրերին նստած։,0.0,0.1,5.184,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986088.wav
Փոխհրաձգությունից հետո հակասություն հայտնվեց երկու կողմերի զոհերի մասին։,Փոխրաձգությունից հետո հակասություն հայտնվեց երկու կողմերի զոհերի մասին։,Փոխհրաձգությունից հետո հակասություն հայտնվեց երկու կողմերի զոհերի մասին։,0.0,0.125,6.084,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986101.wav
Վերջին զորավարժության ժամանակ էլ սկսվեց պատերազմը։,Վերջին զորավարության ժամանակ էլ սկսվեց պատերազմը։,Վերջին զորավարժության ժամանակ էլ սկսվեց պատերազմը։,0.0,0.167,4.86,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986102.wav
Սրբանի տարածքի լիզում։,Սրբանի տարածքի լիզում։,Սրբանի տարածքի լիզում։,0.0,0.0,4.176,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986116.wav
Նարդին ընդգրկում է թե՛ ռազմավարական հմտություններ և թե՛ բախտ կախված զառերից։,Նադին ընդգրկում է թե ռազմավարական հմտություններ և թե՛ կախված սառերից։,Նարդին ընդգրկում է թե՛ ռազմավարական հմտություններ և թե՛ բախտ կախված զառերի,0.091,0.455,6.3,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986117.wav
"- Իստակ մում չունե՞ք, բերեք մի ջուխտ։","Իստակ մո չունեք, բերեք մի ճյուղտ։","ց։ - Իստակ մում չունե՞ք, բերեք մի ջուխտ",0.286,0.571,6.876,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39541359.wav
Ատոր ետեւէն պետութեան մասնատում եւ նորէն արդիականացաւ տարածաշրջանային իշխանութիւններու կարեւորութիւնը։,Ատորր ետևէն պետութեան մասնատում և նորէն արդիականացաւ տարածաշրջանային իշխանութիւններու կարևորութիւնը։,։ Ատոր ետեւէն պետութեան մասնատում եւ նորէն արդիականացաւ տարածաշրջանային իշխանութիւններու կարեւորութիւնը։,0.1,0.1,8.028,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39541360.wav
"Հետո, կարծես ինքնիրեն ասաց,- նրան բռնեցին տարան, բայց ի՞նչ օգուտ։","Հետո, կարծես ինքն իրեն ասաց, նրան բռնեցին, տարան, բայց ի՞նչ օգուտ.","Հետո, կարծես ինքնիրեն ասաց,- նրան բռնեցին տարան, բայց ի՞նչ օգուտ։",0.0,0.5,6.84,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39541361.wav
Ներոնի օրոք սկսվել է հռոմեական կայսերի կողմից քրիստոնյաների հետապնդումը։,Ներոնի օրոք սկսվել է ռեմական կայսրերի կողմից քրիստոնեների հետապնդումը։,Ներոնի օրոք սկսվել է հռոմեական կայսերի կողմից քրիստոնյաների հետապնդումը։,0.0,0.333,6.66,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39541375.wav
"Տարաների բոլոր տեսակների համար հիմնական պահանջներն են՝ թեթևությունը, ամրությունն ու էժանությունը։","Տարաների բոլոր տեսակների համար հիմնական պաանջներն են, թեթևությունը, ամրությունը ու էժանությունը։","Տարաների բոլոր տեսակների համար հիմնական պահանջներն են՝ թեթևությունը, ամրությունն ու էժանությունը։",0.0,0.364,7.128,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39541410.wav
"Թափառումների ժամանակ բադիկը լսում է, թե ինչ են խոսում թռչունները։","Թափառումների ժամանակ բադիկը լսում է, թե ինչ են խոսում թռչունները։","Թափառումների ժամանակ բադիկը լսում է, թե ինչ են խոսում թռչունները։",0.0,0.0,6.192,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39541411.wav
"Ի պատասխան, ոստիկանությունը, արցունքաբեր գազի օգնությամբ, ցրեց ցույցը։",Ի պատասխան ոստիկանությունը արցունքաբեր կազի օգնությամբ ցրեց ցույցը։,"Ի պատասխան, ոստիկանությունը, արցունքաբեր գազի օգնությամբ, ցրեց ցույցը։",0.0,0.5,5.724,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39541450.wav
"Բնակչությունն զբաղվում է անասնապահությամբ, բանջարաբուծությամբ, հացահատիկի և կերային կուլտուրաների մշակությամբ։","Բնակչությունն զբաղվում է անասնապահությամբ, բանջարապուծությամբ, հացահատիկի և կերային կուլտուրաների մշակությամբ։","Բնակչությունն զբաղվում է անասնապահությամբ, բանջարաբուծությամբ, հացահատիկի և կերային կուլտուրաների մշակությամբ։",0.0,0.2,7.524,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39541484.wav
"Մարմինը դեղնամոխրագույն է՝ մոխրադարչնագույն երանգով, վերին մասում՝ ավելի գորշ։","Մարմինը դեղնամոխրույն է, մոխրադարչնագույն երանգով, վերին մասում՝ ավելի գորշ։","Մարմինը դեղնամոխրագույն է՝ մոխրադարչնագույն երանգով, վերին մասում՝ ավելի գորշ։",0.0,0.222,7.2,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39541528.wav
Սակայն լեզվի ստանդարտի փաստաթուղթը անվճար հասանելի չէ բացառությամբ ստանդարտների սևագրերը։,"Սակայն լեզվի ստանդարտի փաստաթուղթը անվճար հասունների չէ, բացառությամբ ստանդարտների սևագրերը։",Սակայն լեզվի ստանդարտի փաստաթուղթը անվճար հասանելի չէ բացառությամբ ստանդարտների սևագրերը։,0.0,0.3,8.712,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39541543.wav
Պսակը՝ դեղնասպիտակ կամ վարդագույն։,Պսակը դեղանպիտակ կամ վարդագույն։,Պսակը՝ դեղնասպիտակ կամ վարդագույն։,0.0,0.5,4.212,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39541544.wav
Մինչեւ այսօր անոնք կը մնան անյայտ կորած։,"Մինչև այսօր, անոնք կը մնան անյայտ կորած։",Մինչեւ այսօր անոնք կը մնան անյայտ կորած։,0.0,0.143,5.472,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39541545.wav
"Մեծ բարձրություն ունենալու պատճառով, լիճը սառցակալում է նոյեմբերից մինչև հունիս։",Մեծ բարձրություն ունենալու պատճառով լիճը սառցակալում է նոյեմբերից մինչև հունիս։,"Մեծ բարձրություն ունենալու պատճառով, լիճը սառցակալում է նոյեմբերից մինչև հունիս։",0.0,0.2,6.552,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39541549.wav
"Մարմնավաճառի աշխատանքը երբեմն ավարտվել է ծեծով, երբ փորձել է չենթարկվել։","Մանրավաճառի աշխատանքը երբեմն նավորտվել է ծեծով, երբ փորձել է չենթարկվել։","Մարմնավաճառի աշխատանքը երբեմն ավարտվել է ծեծով, երբ փորձել է չենթարկվել։",0.0,0.2,5.94,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39541552.wav
Փառատոնը տարեցտարի վերածվում է ազգային տոնի։,Փառատոնը տարեցտարի վերացվում է ազգային տոնի։,Փառատոնը տարեցտարի վերածվում է ազգային տոնի։,0.0,0.167,5.508,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39541553.wav
Բռնությամբ կազմակերպված կոլտնտեսությունները ցրվում են։,Բռնությամբ կազմակերպված գոլտնտեսությունները ցրվում են։,Բռնությամբ կազմակերպված կոլտնտեսությունները ցրվում են։,0.0,0.2,5.58,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39541554.wav
"Նա հետագայում նշել է, որ ծնվել է ախոռում։","Նա հետագայում նշել է, որ ծնվել է ախոռում։","Նա հետագայում նշել է, որ ծնվել է ախոռում։",0.0,0.0,6.084,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986198.wav
Արձանը կանգնեցված է հայրենի գյուղում՝ իր անունը կրող միջնակարգ դպրոցի բակում։,"Արձանը կանգնեցված է հայրենի գյուղում, իր անունը կրող միջնակարգ դպրոցի բակում։",Արձանը կանգնեցված է հայրենի գյուղում՝ իր անունը կրող միջնակարգ դպրոցի բակում։,0.0,0.091,7.344,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986199.wav
Արդյունաբերության մեջ ստացվում է ֆենոլի կարբօքսիլացմամբ։,Արդյունաբերության մեջ ստացվում է ֆենոլի կարբօքսիլացմամբ։,Արդյունաբերության մեջ ստացվում է ֆենոլի կարբօքսիլացմամբ։,0.0,0.0,5.832,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986200.wav
Եռակի թագի մրցաշարերից մեկն է։,Եռակի թակի մրցաշարերից մեկն է։,Եռակի թագի մրցաշարերից մեկն է։,0.0,0.2,4.644,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986201.wav
Ֆոսֆինները համարվում են նուկլեոֆիլներ։,Ֆոսֆինները համարվում են նուկլեոֆիններ։,Ֆոսֆինները համարվում են նուկլեոֆիլներ։,0.0,0.25,4.86,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986202.wav
Էլեկտրոնային ուսուցումը հատկապես արդյունավետ է ձեռնարկությունների մեծ շղթա ունեցող ընկերությունների համար։,Էլեկտրոնային ուսուցումը հատկապես արդյունավետ է ձեռնարկությունների մեջ ճղթա ունեցող ընկերությունների համար։,Էլեկտրոնային ուսուցումը հատկապես արդյունավետ է ձեռնարկությունների մեծ շղթա ունեցող ընկերությունների համար։,0.0,0.182,8.712,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986233.wav
Վաղ տարիքում հետաքրքրվել է նկարչությամբ։,Վաղ տարիքում հետաքրքրվել է նկարչությամբ։,Վաղ տարիքում հետաքրքրվել է նկարչությամբ։,0.0,0.0,5.94,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986236.wav
"Հետևաբար սիմետրիկ է այն օբյեկտը, որն ունի սիմետրիայի գոնե մեկ տարր։","Հետևաբար սիմետրիկ է այն օբյեկտը, որն ունի սիմետրիայի գոնե մեկ տարր։","Հետևաբար սիմետրիկ է այն օբյեկտը, որն ունի սիմետրիայի գոնե մեկ տարր։",0.0,0.091,7.02,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986255.wav
"Որոշ քարաշերտեր մուգ են և, ըստ երևույթին, կազմված բազալտից։",Որոշ քարաշերտեր մուգ են և ըստ երևույթին կազմված բազալտից։,"Որոշ քարաշերտեր մուգ են և, ըստ երևույթին, կազմված բազալտից։",0.0,0.222,7.56,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986258.wav
"Բազմաթիվ բանաստեղծությունների, երգերի, պատմվածքների, մի քանի վեպերի հեղինակ է։","Բազմաթիվ բանաստեղծությունների, երգերի, պատմվածքների, մի քանի վեպերի հեղինակ է։","Բազմաթիվ բանաստեղծությունների, երգերի, պատմվածքների, մի քանի վեպերի հեղինակ է։",0.0,0.0,8.172,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986301.wav
"Տիրապետել է անգլերեն, գերմաներեն, իտալերեն, իսպաներեն լեզուներին։","Տիրապետել է անգլերեն, գերմաներեն, իտալերեն, իսպաներեն լեզուներին։","Տիրապետել է անգլերեն, գերմաներեն, իտալերեն, իսպաներեն լեզուներին։",0.0,0.0,7.02,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39991360.wav
Լյուքսեմբուրգերենը և մնացած շեղված կամ անցումային բարբառները ծագում են տարածաբարբառական տարբերակներից։,Լուքսեմբուրգերենը և մնացած շեղված կամ անցումային բարբառները ծագում են տարածաբարբառական տարբերակներից։,Լյուքսեմբուրգերենը և մնացած շեղված կամ անցումային բարբառները ծագում են տարածաբարբառական տարբերակներից։,0.0,0.182,9.036,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39991361.wav
Նրանց կյանքի սկզբնական տարիները անամպ չէին։,Նրանց կյանքի սկզբնական տարիները անամպ չէին։,Նրանց կյանքի սկզբնական տարիները անամպ չէին։,0.0,0.0,5.004,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39991383.wav
Այս երկու դասակարգումները լրացնում են միմյանց։,Այս երկու դասակարգումները լրացնում են միմյանց։,Այս երկու դասակարգումները լրացնում են միմյանց։,0.0,0.0,4.572,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39991384.wav
"Ես շատ խղճում եմ նրան, շատ անբախտ մարդ է։","Ես շատ խղճում եմ նրան, շատ ամբախտ մարդ է.","Ես շատ խղճում եմ նրան, շատ անբախտ մարդ է։",0.0,0.222,5.004,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39991406.wav
Մեկուկես տարի անազատության մեջ գտնվելուց հետո փակ դատավարությամբ դատապարտվել է մահապատժի։,Մեկուկյայս տարի անազատության մեջ գտնվելուց հետո փակ դատավարությամբ դատապարտվել է մահապատժի։,Մեկուկես տարի անազատության մեջ գտնվելուց հետո փակ դատավարությամբ դատապարտվել է մահապատժի։,0.0,0.091,8.1,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39991421.wav
Թութուն ծխելիս նիկոտինը ֆիզիկական և հոգեբանական կախվածություն է առաջացնում։,"Թութուն ծխելիս, մնիգոտինը ֆիզիկական և հոգեբանական կախվածություն է առաջացնում։",Թութուն ծխելիս նիկոտինը ֆիզիկական և հոգեբանական կախվածություն է առաջացնում։,0.0,0.333,6.48,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986146.wav
Ակումբի պատմության մեծ մասի ընթացքում լոգոն չի օգտագործվել։,Ակումբի պատմության մեծ մասի ընթացքում լոգոն չի օգտագործվել։,Ակումբի պատմության մեծ մասի ընթացքում լոգոն չի օգտագործվել։,0.0,0.0,5.904,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986161.wav
Սակայն նա որոշել է չշարունակել իրավաբանի կարիերան։,Սակայն նա որոշել է չշարունակել իրավաբանի կարիերան։,Սակայն նա որոշել է չշարունակել իրավաբանի կարիերան։,0.0,0.0,5.04,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986162.wav
Հատկապես հայտնի էին հայ շախմատիստները։,Հատկապես հայտնի էին հայ շախտմատիստները։,Հատկապես հայտնի էին հայ շախմատիստները։,0.0,0.2,3.96,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986163.wav
Այս բերդը համարվում է իսլամական արվեստի և ճարտարապետության վառ օրինակներից մեկը։,Այս բերդը համարվում է իսլամական արվեստի և ճարտարապետության վառ օրինակներից մեկը։,Այս բերդը համարվում է իսլամական արվեստի և ճարտարապետության վառ օրինակներից մեկը։,0.0,0.091,6.264,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986165.wav
Փղին դժվարությամբ են կանգնեցրել։,Փղին դժվարությամբ են կանգնեցրել։,Փղին դժվարությամբ են կանգնեցրել։,0.0,0.0,4.212,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986192.wav
Իր հեղափոխական գործունեության պատճառով գտնվում էր ոստիկանությւն հսկողության տակ։,Իր հեղափոխական գործունեության պատճառով գտնվում էր ոստիկանության հսկողության տակ։,Իր հեղափոխական գործունեության պատճառով գտնվում էր ոստիկանությւն հսկողության տակ։,0.0,0.111,6.12,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986203.wav
ձորի խաղաղությունը դուրեկան էր։,Զորի խաղաղությունը դուրեկան էր։,ձորի խաղաղությունը դուրեկան էր։,0.0,0.25,3.312,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986352.wav
"Այդ էր պատճառը, որ նա խաղում է նաև գերմանական ֆիլմերում։","Այդ էր պատճառը, որ նա խաղում էր նաև գերմանական ֆիլմերում։","Այդ էր պատճառը, որ նա խաղում է նաև գերմանական ֆիլմերում։",0.0,0.2,4.644,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986358.wav
"Ինչպես է նա սկսում, որտեղ է հայտնվում։","Ինչպե՜ս է նա սկսում, որտեղ է հայտնվում։","Ինչպես է նա սկսում, որտեղ է հայտնվում։",0.0,0.143,3.492,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986359.wav
Սահակյանը սիրով ու կարեկցությամբ նայեց նրան և այլևս չշարունակեց վիճաբանությունը։,Սահակյանը սիրող ու կարեկցությամբ նայեց նրան և այլևս չշարունակեց մվիջաբանությունը։,Սահակյանը սիրով ու կարեկցությամբ նայեց նրան և այլևս չշարունակեց վիճաբանությունը։,0.0,0.4,5.94,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986361.wav
"Առաջին կինն է, որ առագաստանավով, միայնակ կատարել է շուրջերկրյա ճանապարհորդություն։","Առաջին կինն էր, որ արտագաստանավով միայնակ կատարել է շուրջեկրա ճանապարհորդություն։","Առաջին կինն է, որ առագաստանավով, միայնակ կատարել է շուրջերկրյա ճանապարհորդություն։",0.0,0.3,6.012,D:\Capstone_Thesis\cv-corpus-17.0-2024-03-15\hy-AM\resampled_clips\common_voice_hy-AM_39986379.wav
